1000000,million,4.28,3.19,3.41,NN
1000000000,billion,3.9,3.22,3.75,NN
1000000000000,trillion,3.43,3.1,3.13,NN
ab,aqua,3.75,2.3,2.91,NN
abacı,drone,2.25,2.65,2.95,NN
abanoz,ebony,3.57,2.66,2.86,NN
abartı,exaggeration,2.6,3.4,2.92,NN
abartılmış,overrated,2.33,3.2,2.91,ADJ
abartısız,literal,3.42,2.68,3.66,ADJ
abartma,overestimate,3.17,2.26,2.71,NN
abartmak,exaggerate,2.68,2.74,3.28,VB
abartmasız,literal,3.42,2.68,3.66,ADJ
abd,bondsman,2.29,2.62,2.75,NN
abdestbozan,ribbon,3.85,2.32,3.16,NN
abdesthane,latrine,2.5,2.41,3.28,NN
abece,alphabet,3.48,2.08,3.4,NN
abecesel,alphabetical,3.66,2,3.57,ADJ
abide,memorial,3.36,2.13,3.12,NN
abidevi,monumental,3.37,3.12,3.53,ADJ
abiye,latrine,2.5,2.41,3.28,ADJ
abla,cha cha,3.76,3.37,3.16,NN
abluka,blockade,2.23,2.2,2.68,NN
abone,subscriber,3.36,1.98,2.91,NN
abone olmak,subscribe,3.22,2.63,3.62,VB
abonelik^,subscription,3.15,2.03,3.43,NN
abrakadabra,abracadabra,3.06,3.14,2.98,NN
absürt^,absurd,2.73,2.51,3.03,ADJ
abuhava,climate,3.4,2.48,2.5,NN
abuk subukluk^,absurdity,2.53,2.85,3.19,NN
abukla^mak,drool,2.14,1.85,2.68,VB
abus,surly,2.45,2.4,2.98,ADJ
aç,hungry,2.27,3.3,2.8,ADJ
açacak^,opener,3.5,2,3.34,NN
acar,brash,2.69,2.28,3.17,ADJ
açar,key,3.61,2.45,3.88,NN
acayip^,freakish,2.36,3.06,2.93,ADJ
acayiplik^,weirdness,2.91,2.78,3.19,NN
acele,hustle,2.76,3.37,2.98,ADJ
acele et^mek,hurry,2.66,3.31,2.78,VB
aceleci,hasty,2.63,3.18,2.91,ADJ
acemi,tenderfoot,2.63,2.08,2.98,ADJ
acemi çaylak^,rookie,3.13,2.25,2.46,ADJ
açgözlü,greedy,1.55,2.88,2.5,ADJ
açgözlülük^,greed,1.74,2.73,2.5,NN
acil,urgent,2.61,3.36,3.18,ADJ
acil durum,emergency,1.86,3.72,1.86,NN
acil hat,hotline,3.26,2.81,2.98,NN
aciliyet,urgency,3.03,3.63,3,NN
aciliyetine göre sıralama,triage,2.41,2.83,3.03,NN
aciz,incapable,2.28,2.45,1.8,ADJ
âciz,powerless,1.95,2.48,2.02,ADJ
acı,bitter,2.32,2.82,2.79,ADJ
açı,angle,2.78,2.11,3.14,NN
acı çekmek,suffer,1.53,2.75,2.16,VB
acı çektirmek,persecute,2.06,3.06,2.55,VB
acı tatlı,bittersweet,3.05,2.61,2.76,ADJ
acı veren,grievous,2.07,2.46,3.13,ADJ
acı verici,agonizing,1.84,3.86,2.52,NN
açığa kavuşturmak,clarify,3.5,1.93,3.52,VB
açığa vurmak,divulge,2.9,3.22,3.02,VB
açık artırma,auction,3.22,2.75,3.17,NN
açık deniz,offshore,2.98,2.25,2.57,ADJ
açık havada,outdoors,3.96,2.47,3.6,ADJ
açık saçık^,girlie,3.18,2.98,3.27,ADJ
açık seçik^,explicit,2.91,3.12,2.59,ADJ
açık sözlü,outspoken,3.58,3.18,3.57,NN
açık^,open,3.57,2.72,3.59,ADJ
açıkça,open,3.57,2.72,3.59,ADV
açıkgöz,hardheaded,2.29,2.69,2.63,ADJ
açıkhava,outdoor,4.17,2.28,3.1,NN
açıklama,explanation,3.69,2.53,3.57,NN
açıkla>mak,explain,3.21,2.5,3.61,VB
açıklamayan,inexplicable,2.78,3,2.72,ADJ
açıklanamaz,unexplainable,3,2.47,2.38,ADJ
açıklanmamış,unexplained,2.8,2.93,2.56,ADJ
açıklayan,dictionary,3.53,1.96,3.44,NN
acıklı,pathetic,2.06,2.28,2.09,ADJ
açıklığa kavuşturma,clarification,3.53,2.13,3.32,NN
açıklık^,openness,3.76,2.69,3.43,NN
acılı,painful,1.79,3.26,2.42,ADJ
acılık^,bitterness,2.08,3.05,2.81,NN
açılır pencere,sunroof,3.74,2.12,3.59,NN
açılış,opening,3.48,2.8,3.84,NN
açılış töreni,inaugural,3,2.39,3.07,NN
açılma,deployment,2.16,3.48,2.36,NN
açılmak,unfold,2.62,2.44,3.32,VB
açılmamış,unopened,3.32,2.16,3.09,ADJ
acıma,clemency,3.08,2.15,3.24,NN
acımasız,ruthless,2.34,3.5,2.52,ADJ
acımasızlık^,cruelty,1.69,3.45,1.82,NN
acımış,rancid,1.69,3.08,2.54,ADJ
açımlama,dissection,2.06,2.66,2.96,NN
acıtmak,sting,1.78,2.94,2.23,VB
batmak,sting,1.78,2.94,2.23,VB
açkı,key,3.61,2.45,3.88,NN
açlık^,hunger,2.1,2.9,2.09,NN
özle^mek,hunger,2.1,2.9,2.09,VB
açlıktan ölen,famished,2.74,3.72,2.65,ADJ
açlıktan ölme,starvation,1.36,3.23,2.41,NN
açlıktan ölmek,starve,1.77,2.5,2.06,VB
açma,discovery,3.91,3.52,3.63,NN
açmak,unpack,3.15,1.95,3.23,VB
acul,hasty,2.63,3.18,2.91,ADJ
acun,globe,3.58,2.18,3.2,NN
ad,name,3.31,2.02,3.07,NN
ad koymak,entitle,2.95,2.5,3.69,VB
ad takmak,entitle,2.95,2.5,3.69,VB
ad vermek,entitle,2.95,2.5,3.69,VB
ada,island,4.09,2.63,3.29,NN
adaçayı,sage,3.4,2.17,3.13,NN
adacık,isle,3.53,2.12,2.85,NN
adak^,vow,3.8,2.61,3.5,NN
adaklı,fiancee,4.07,3.02,3.53,ADJ
adale,brawn,3,2.83,3.29,NN
adalet,justice,3.9,3.2,3.66,NN
adaletli,fair,4.07,2.15,3.56,ADJ
adaletsizlik^,injustice,1.73,3.73,2.14,NN
adam,guy,3.78,2.86,3.06,NN
adam kaçırma,kidnapping,1.53,3.18,1.74,NN
adam kayırma,favoritism,2.91,3.08,2.92,NN
adam öldürme,manslaughter,1.53,3.34,2.44,NN
ada>mak,devote,3.27,2.53,4.03,VB
adamakıllı,beautiful,4.31,3.36,3.59,ADJ
adamlık^,humanity,3.89,2.68,3.48,NN
adaptasyon,adaptation,3.41,2.28,3.52,NN
adapte et^mek,adapt,3.42,2.45,3.38,VB
adavet,hostility,1.98,3.87,2.85,NN
aday,candidate,2.75,3.16,3.24,NN
aday gösterme,nomination,3.32,2.52,3.5,NN
adaylık^,candidacy,2.9,2.03,2.98,NN
addet^mek,count,3.45,1.65,3.09,VB
adem,absence,2.43,2.65,2.62,NN
âdem evladı,human,3.73,2.31,3.36,NN
ademiyet,absence,2.43,2.65,2.62,NN
âdemiyet,humanity,3.89,2.68,3.48,NN
âdemoğlu,humankind,3.98,2.92,3.3,NN
âdet,menstrual,1.9,2.65,2.19,NN
âdeta,menial,2.4,2.43,3.16,ADV
adetler,mores,3.09,1.8,2.72,NN
adi,inferior,2.22,2.78,2.18,ADJ
Adidas,Adidas,3.39,2.59,3.65,NN
adil,fair,4.07,2.15,3.56,ADJ
adilik^,inferiority,2.05,2.24,2.17,NN
adisyon,account,3.2,2.38,3.03,NN
adı çıkmış,notorious,2.6,2.84,3.12,ADJ
adım,step,3.34,2.24,3.5,NN
adımlar,steps,2.98,2,3.59,NN
adlandırmak,entitle,2.95,2.5,3.69,VB
adli,judicial,2.5,2.8,2.95,ADJ
adli tıp^,forensics,3.43,2.68,3.07,NN
adliye,courthouse,2.81,2.6,2.25,NN
adrenalin,adrenaline,3.81,3.48,3.36,NN
adres,address,3.56,2.03,2.95,NN
adsız,unnamed,2.69,2.53,2.83,ADJ
aerobik^,aerobics,3.5,3.05,3.35,ADJ
aerodinamik^,aerodynamic,3.58,2.67,3.05,ADJ
afacan,urchin,2.87,2.5,2.84,ADJ
afacan peri,poltergeist,2.7,3.28,2.53,NN
afaki,objective,3.28,2.69,3.74,ADJ
afet,stunner,3.38,2.75,3.43,NN
affa uğra^mak,absolution,3.79,2.19,3.38,VB
affedilmek,absolution,3.79,2.19,3.38,VB
affedilmez,unforgivable,1.67,3.63,2.28,ADJ
affedilmiş,exempt,2.92,2.72,3.27,ADJ
affet^mek,forgive,4.03,2.31,3.72,VB
affetmez,unforgiving,1.71,2.91,2.65,ADJ
affolunmak,absolution,3.79,2.19,3.38,VB
afif,chaste,3.41,2.25,2.62,NN
afife,chaste,3.41,2.25,2.62,NN
afiş,banner,3.09,2.28,3.09,NN
afişe et^mek,explain,3.21,2.5,3.61,VB
afiyet,health,3.93,2.24,3.5,NN
