aa, 0.2, -0.1, 0.75, -1.56, 0, 0.08
aaa, 0.2, -0.1, 0.75, -1.56, 0, 0.08
oo, 0.2, -0.1, 0.75, -1.56, 0, 0.08
ooo, 0.2, -0.1, 0.75, -1.56, 0, 0.08
ah, 0.14, -0.97, 0.545, 0.55, 0.145, 0.1
oh, 0.14, -0.97, 0.545, 0.55, 0.145, 0.1	
aman, -0.14, -0.97, 0.545, 0.55, 0.145, 0.1
sakın, -0.14, -0.97, 0.545, 0.55, 0.145, 0.1	
ay, 0.14, -0.97, 0.545, 0.55, 0.145, 0.1
oy, 0.14, -0.97, 0.545, 0.55, 0.145, 0.1
vay, 0.14, -0.97, 0.545, 0.55, 0.145, 0.1
ohh, 0.14, -0.97, 0.545, 0.55, 0.145, 0.1
ahh, -0.14, -0.97, 0.545, 0.55, 0.145, 0.1
bravo, 0.63, 0, 1.2, 0, -0.11,0
eyvah, -1.55, -1.55, 0, -0.8, 0, -0.39
tüh, -1.55, -1.55, 0, -0.8, 0, -0.39
hoppa, 0, 0.05, 0, 0.17, 0, 0.63
hoppala, 0, 0.05, 0, 0.17, 0, 0.63
hayda, 0, 0.05, 0, 0.17, 0, 0.63
haydaa, 0, 0.05, 0, 0.17, 0, 0.63				
of, -0.02, -1.59, 0.27, -0.17, -0.36, -0.07
üf, -0.02, -1.59, 0.27, -0.17, -0.36, -0.07
off, -0.02, -1.59, 0.27, -0.17, -0.36, -0.07
üff, -0.02, -1.59, 0.27, -0.17, -0.36, -0.07				
ya, -0.1, -0.78, 0, -0.25, 0, -0.6
be, -0.1, -0.78, 0, -0.25, 0, -0.6							
yazık, -0.29, -0.29, 0, 0.5, 0, 0.69
vah, -0.29, -0.29, 0, 0.5, 0, 0.69					
yo, 0.16, -1.01, -0.5, 1, -0.61, 1.04
yoo, 0.16, -1.01, -0.5, 1, -0.61, 1.04
hah, 0, 0.44, 0, -0.6, 0.33, 0.88 							
yuh, -0.86, -0.86, 0, 0.89, 0, 0.43
oha, -0.86, -0.86, 0, 0.89, 0, 0.43	
çüş, -0.86, -0.86, 0, 0.89, 0, 0.43
ulan, -0.86, -0.86, 0, 0.89, 0, 0.43
lan, -0.86, -0.86, 0, 0.89,0, 0.43							
bre, 0.5, 0, 1.02, 0, 0.44, 0
abe, 0.5, 0, 1.02, 0, 0.44, 0
ey, 0.42, -0.105, 1.13,	1.035, 0.29, 0.45
hey, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45
heey, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45	
şişt, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45
hu, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45
alo, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45	
hadi, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45	
haydi, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45
hişt, 0.42, -0.105, 1.13, 1.035, 0.29, 0.45	
hop, 0,	-0.14, 0, 0.5, 0, 0.85
hoop, 0, -0.14, 0, 0.5, 0, 0.85
yahu, -0.11, 0, -1, 0 ,0.15, 0
hımm, -0.69, -0.36, -0.33, -0.67, -0.92, -0.05
peki,-0.02, -0.73, -0.29, -0.37, -0.57, -0.43
ayol, -0.5, 0, -0.17, 0, -0.3, 0
