altyazı
senaryo
oyuncu
oyuncu kadrosu
artist
aktrist
fragman
filmi
sinema
retrospektif
özel efekt
dublör
sinema filmi
televizyon filmi
TV filmi
TV dizisi
ticari amaçlı film
çizgi film
aile filmi
aksiyon filmi
aksiyon komedisi
aksiyon-gerilim
alternatif tarih
animasyon
bilim kurgu
bağımsız film
eğitim filmi
doğa filmi
gezi filmi
dramatik film
dram filmi
melodram filmi
müzikal
felaket filmi
korku filmi
casus filmi
belgesel film
şiddet içerikli film
erotik film
erotik gerilim
pornografi 
pornografik film
konulu film
kurgu film
kurgu
gerilim filmi
trajedi filmi
psikolojik film
reklam filmi
renkli film
komedi filmi
macera filmi
mafya filmi
gotik film
dövüş filmi
dizi film
dini film
romantik film
romantik komedi
fantastik komedi
sanat filmi
tarihi film
zombi filmi
vampir filmi
savaş filmi
uzun metrajlı film
3 boyutlu film
yönetmen
dublaj
figuran
film çekmek
film eleştirisi
film eleştirmeni
film ekibi
film studyosu
film türü
film yapımı
film seti
film müziği
film yapımcısı
filmin adı
jenerik
kısa film
metin yazarı
senaryo yazarı
senarist
kurgulayan
yayıncı
ortak yapımcılar
ses montaj
ses efekti
görsel efekt
dekor tasarım
uyarlama
yerli film
yerli yapım
yabancı film
yabancı yapım
Yeşilçam
çekim
yapım
